基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
161233,GTRYRTDCLHH,混合型,国投瑞银瑞泰多策略混合,1.4181,1.4181,1.4206,1.4206,-0.0025,-0.18,开放申购,开放赎回,0.15%
161505,YHTLZQLOFA,债券型,银河通利债券(LOF)A,1.2890,1.6790,1.2920,1.6820,-0.0030,-0.23,开放申购,开放赎回,0.08%
161506,YHTLZQLOFC,债券型,银河通利债券(LOF)C,1.3210,1.6710,1.3240,1.6740,-0.0030,-0.23,开放申购,开放赎回,0.00%
161601,RTXLCHH,混合型,融通新蓝筹混合,1.4086,3.7136,1.4212,3.7262,-0.0126,-0.89,开放申购,开放赎回,0.15%
161603,RTZQAB,债券型,融通债券A/B,1,1.9520,0.9990,1.9510,0.0010,0.10,开放申购,开放赎回,0.12%
161604,RTSZ100ZSA,股票指数,融通深证100指数A,2.07,3.6880,2.0830,3.7010,-0.0130,-0.62,开放申购,开放赎回,0.15%
161605,RTLCCZHH,混合型,融通蓝筹成长混合,1.6310,3.3540,1.6350,3.3580,-0.0040,-0.24,开放申购,开放赎回,0.16%
161606,RTHYJQHHA,混合型,融通行业景气混合A,3.1810,5.1210,3.1780,5.1180,0.0030,0.09,开放申购,开放赎回,0.15%
161607,RTJC100ZSALOF,股票指数,融通巨潮100指数A(LOF),1.5670,3.5160,1.5810,3.53,-0.0140,-0.89,开放申购,开放赎回,0.15%
161609,RTDLXFHH,混合型,融通动力先锋混合,2.2780,3.2410,2.2890,3.2520,-0.0110,-0.48,开放申购,开放赎回,0.15%
161610,RTLXCZHHLOFA,混合型,融通领先成长混合(LOF)A,2.2360,6.1310,2.2610,6.1950,-0.0250,-1.11,开放申购,开放赎回,0.15%
161611,RTNXQDHH,混合型,融通内需驱动混合,2.0320,2.1520,2.0290,2.1490,0.0030,0.15,开放申购,开放赎回,0.15%
161612,RTSZCFZSA,股票指数,融通深证成份指数A,1.4020,1.4120,1.41,1.42,-0.0080,-0.57,开放申购,开放赎回,0.12%
161613,RTCYBZSA,股票指数,融通创业板指数A,1.51,2.77,1.5330,2.7930,-0.0230,-1.50,限大额,开放赎回,0.12%
161614,RTSJTLZQLOFA,债券型,融通四季添利债券(LOF)A,1.0270,1.4850,1.0270,1.4850,0,0.00,开放申购,开放赎回,0.08%
161616,RTYLBJHYHHAB,混合型,融通医疗保健行业混合A/B,3.0490,3.4130,3.0580,3.4220,-0.0090,-0.29,开放申购,开放赎回,0.15%
161618,RTSSTLDKZA,定开债券,融通岁岁添利定开债A,1.0290,1.4370,1.0280,1.4360,0.0010,0.10,暂停申购,暂停赎回,0.06%
161619,RTSSTLDKZB,定开债券,融通岁岁添利定开债B,1.0260,1.4060,1.0250,1.4050,0.0010,0.10,暂停申购,暂停赎回,0.00%
161620,RTHXJZHH,QDII,融通核心价值混合,,,1.1846,1.1846,,,开放申购,开放赎回,0.15%
